branch,city,kifle_ketema,direction,building,flat,phone,name
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,In front of Betmengest,,+251-25-1113159,Dire Dawa Standard Autority Ethiopia
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,In Front of Ethiopian Red Cross,,+251-25-1111232,Dire Dawa Office Auditor General
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around commerciala bank main branch,,+251-25-1117285,Dire Dawa Administration Teacher’s Association
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Just Cafe,,+251-25-1125621,Dire Dawa Federal Higher Court
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: -,Around Police memria,,+251-25-1124268 Fax: +251-25-1112112,Dire Dawa Ethiopia Road Autority
,Dire Dawa City,Dire Dawa,Memiria Kebele: -,Near Musina Office,,251-25-1113266,Dire Dawa Technical and Vocational College
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,In front of Millennium Park,,+251-25-1124866,Dire Dawa City Manager Office
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,Around Triangle Hotel   House No.: 66666,,+251-25-4110164   +251-25-1115402,Dire Dawa Finance and Economic Office
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Selam Hotel,,+251-25-1120071,FDRE Dire Dawa City Administration Mayor Office
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,In Side Gend Rege Kebele,,+251-91-1226305,Ture Dire Dawa Cement Factory Share Company
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,Near kentiba Building,,+251-25-1116061   +251-91-5752367,Dire Dawa Information & Public Relation Office
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,In front of Selam Hotel,,+251-25-1111841   +251-25-1112132 Fax: +251-25-1110543,Dire Dawa Finance & Economy Dev't Office
,Dire Dawa City,Dire Dawa,Kebele 03 Kebele: -,Near Sabiyan Memeriya,,+251-25-1113496,Dire Dawa Administration Water Supply and Sewerage Authority
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Behind Jemal Rogora Garage,,+251-25-1112330,Federal Democratic Republic of Ethiopia Dire Dawa Administration Health Bureau
,Addis Ababa City,Nefassilk Lafto,Tor Hayloch Kebele: 01,In Side Awash Wine Factory,,+251-11-3727720/14   +251-11-3727490,Bizenu P.L.C
,Dire Dawa City,Dire Dawa,Megala Kebele: -,Around Magala police Staion,,+251-25-1122587,Dire Garment and Textile
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Gareni College,,+251-91-1212964   +251-25-1113463 Website/Email: bekriltd@hotmail    www.direcarnivaltour.com,Dire Carnuval Tour P.L.C
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: 03,Around Tsehay Hotel,,251-25-1129074,Dire Higher Clinic
,Dire Dawa City,Dire Dawa,Yedro Post office Kebele: -,In Front of Lusy College,,+251-25-1113401,Dire Printing Press S.c
,Dire Dawa City,Kezira,Bete Mengist Kebele: 03,Near Ferede Bat,,+251-25-1113934,Dire Dawa Central Statistical Agency
,Dire Dawa City,Dire Dawa,Taywan Kebele: 07,In front of Tayiwan Adarash,,251-25-1111596,Beza Pharmacy
,Dire Dawa City,Dire Dawa,Taywan Kebele: -,Aroun Tayewan Adarash,,+251-25-1111552,Tekia Geberie
,Dire Dawa City,Dire Dawa,Taywan Kebele: -,In side Afran kelo Building,,+251-91-15730834,Muhaba Reshid General Construction
,Dessie City,Dessie,Menaharia Kebele: -,Infront of Rukia Building,,+251-91-4710486,Emran Shose
,Dire Dawa City,Dire Dawa,Dechatu Kebele: 06,Around Cherka Guzo Coffee House,,251-25-1113406,Gelila Hotel
,Dire Dawa City,Dire Dawa,Dechatu Kebele: -,Around Gelila Hotel,,+251-25-6662740,Mulu Birhan Hotel
,Dire Dawa City,Dire Dawa,Dechatu Kebele: -,Near Addis Ababa Hotel,,+251-25-1113002,Dechatu Stationery
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,In front of Babur tabiya,,251-25-1113348,Mekonnen Hotel
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,Near Michael Church,,251-25-1119240,Chachi Denatal Clinic
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,Around Dile Tore Hospital,,251-25-1110377,Hayat Clinic
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,Near Airlines Thicket Office,,251-25-1118425,Africa Medium Clinic
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,Around Air Thicket Office,,251-25-1113027,Ethiopia Pharmacy
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Near Michael Church,,251-25-1125078,Robera Pharmacy
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,Near Nigid Bank,,+251-91-5731653,Universal Pharmacy
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,In front of Ras Hotel,,+251-25-1130600,Samrat Hotel
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Near Roterdam School,,+251-25-1120861,Diredawa Capacity Building Office
,Dire Dawa City,Dire Dawa,Kezira Kebele: 03,In front of Tele,,+251-25-1124724,Michael Jewellary
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Near Bherawi Hotel,,+251-25-1113073,Veparco Spare Part
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Ethiopia Pharmacy,,+251-25-1112564,Photo Daye
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Michael Church,,+251-25-1120908,Zineth Abdershid Secritarial Service and Related Activities
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Michael Church,,+251-91-1904795,Kezira Pharmacy
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Michael Church,,+251-91-5750463,Lolo Building construction Materials Sales
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Post Office,,+251-25-1120220,Department of Justice
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Micheal Church,,+251-25-1110784,International Pharmacy
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Micheal Church,,+251-25-1124959,Dane Spare Part
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Infront of Dashn Bank Dire Dawa Branch,,+251-91-5730859,Alpha Business Center
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Infront of Ethiopian Air Lines,,+251-25-1112680,Central Higher Clinic
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Infront of Grece Church,,+251-91-5321107,KJH P.L.C
,Dire Dawa City,Dire Dawa,Kezira Kebele: -,Around Cooprative Bank of oromiya kezira Branch,,+251-91-1134615,Photo Kaleb
,Dire Dawa City,Dire Dawa,Megala Kebele: -,In front of 2gna Police Station,,+251-25-1110584,Selhadine Abubeker
,Dire Dawa City,Dire Dawa,Megala Kebele: -,Inside Garad Building,,+251-25-1122244,Dahabshil Money Transfer
,Dire Dawa City,Dire Dawa,Megala Kebele: -,Infront of Garad Building,,+251-91-5736355,Nibal Stationery
,Dire Dawa City,Dire Dawa,NOC Kebele: -,In front of FM   House No.: 999999,,+251-25-1120411,Awash Pharmacy
,Dire Dawa City,Dire Dawa,NOC Kebele: 03,In front of Ras Hotel,,+251-25-1110393,Blossem Hotel
,Dire Dawa City,Dire Dawa,NOC Kebele: -,Aroun Memeheran Kebebe,,+251-25-6662625,Baby Land Acadamy
,Dire Dawa City,Dire Dawa,Gumruk Kebele: -,Near Roterdam School,,+251-25-1112367,Maritime & Transit Service Enterprise
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: 03,Around Anbeta mekelakya,,251-25-1130996   251-25-1121194,Yemariamwork Higher Hospital
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: 03,Near Dawit Garage,,+251-25-1123826,Tadesse Lemma
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Inside 02 kebele,,+251-25-1113527,Micro & Small Enterprises
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Around Dire Dawa University,,+251-91-5760950,Eras Leras Kehiv Viresu gar Yminoru Mahber
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Around Muluwegel,,+251-25-1115890,Saron Development & Relilef Association
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: 03,In front of Asnake Garage,,+251-25-1113554,Sabian Tesfa Chora Charity Association
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: 03,Near Hamdeal,,+251-25-1125923,Mawi Coffee General Business
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Around Oilbiya Gas Station Inside Haron Building 3rd Floor,,+251-25-1131224,Network of HIV Positive People Associations
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Behind Selassie Church,,+251-25-1121743,Sabian Hospital
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Near Art General Hospital,,+251-25-1118574,Ries Engineering S.C
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Behind Ethio Italy TVET Collge,,+251-25-1115998,Bethel Kindergarden School
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: -,Around Dire Dawa University,,+251-91-2116135   +251-91-1627033,Fantahun Ejigu Building Construction
,Assosa City,Assosa,Mariam Kebele: 02,In front of Wise Up Private Campany,,+251-57-7750593,Fasika Hotel
,Dire Dawa City,Dire Dawa,Number 1 Kebele: 05,Around Just Cafe,,+251-25-1112556,Ogaden Pension
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Inside Weberi Metatefia,,+251-25-1111491,Shalom Hotel
,Dire Dawa City,Dire Dawa,Number 1 Kebele: 03,Inside 01 Kebele,,+251-25-1114300,Zerihun Haile
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Around Faska Hotel,,+251-25-1111151,Best Time Hotel
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Teleku Ferde bat,,+251-25-1122193,Triangle Hotel
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Triangle Hotel,,+251-91-1449440,Orbit Hotel
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Around Ayan Water factory,,+251-25-1124860,Birra Coffee General Trading PLC
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Around Red Star International Trading,,+251-91-1864377,Selihome Adevertising And Printing
,Dire Dawa City,Dire Dawa,Number 1 Kebele: -,Near Jonya Factory,,+251-91-5730502,S.A Bagersh PLC
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: 03,In front of Lios Hotel,,251-25-1110023,Teshay Hotel
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: 03,In front of Tsehay Hotel,,251-25-1110472,Lyos Hotel
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: -,Around Depo Gas Station,,+251-25-1122001 Fax: +251-25-1124987,Diredawa Housing Dev't Project Agency
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: -,Around Tshay Hotel,,+251-25-1110910,Samage Hotel
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: -,Near Dera Clinic,,+251-25-1126006   +251-25-1124908   +251-91-5733381,Africa Village
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: -,Near ethiopian ehl nigd,,+251-25-1127053   +251-91-3353291,Dawit Aid For Aged Persons Assciation
,Dire Dawa City,Dire Dawa,Gend Dipo Kebele: 03,Around Awra Godana   House No.: 999999,,+251-25-1111600/37/43,Deredawa Region Police Commission
,Dire Dawa City,Dire Dawa,Airport Kebele: 03,Near Millennium Park,,251-25-1114181   +251-91-1851819,Dile Hotel
,Dire Dawa City,Dire Dawa,Airport Kebele: -,Near Mariam Church,,+251-25-1130220,Selam Hotel
,Dire Dawa City,Dire Dawa,Airport Kebele: -,Behind Air port,,+251-25-1111228,Diredawa Sanitation & Beautifcation Agency
,Dire Dawa City,Dire Dawa,Ashwa Meda Kebele: 09,Around Police Meret,,251-25-1112544,Gereni Hotel
,Dire Dawa City,Dire Dawa,Ashwa Meda Kebele: 07,Around Chat tera,,251-25-1121164,Alpha Pharmacy
,Dire Dawa City,Dire Dawa,Ashwa Meda Kebele: -,In front of Abay Bank Hafateissa Branch,,+251-91-5731273,Wondwosen Refrigerator and Electronics item Maintenance
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: 03,Around karamara Hotel No.2,,251-25-1111952,Gena Hotel
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Around Karamara Hotel No.1,,251-25-1111483,Care Square Hotel
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Near Tena Office,,+251-25-1113634 Fax: +251-25-1124562,Diredawa Womens Affair Office
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Aroud Harar Bire,,+251-25-6666997,Yemaj General Hospital
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Around Tamrat Hotel,,+251-91-5768364,Yeshama Brhan Women Living With Hiv Aids Association
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Inside 04 kebele,,+251-91-5754226,Man Endegne Legnea Edgetna Lmat
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: 04,Around Care Square Hotel,,+251-25-1113146/94   +251-91-4311900   +251-91-1207391 Fax: +251-25-1112880 Website/Email: theyobsl@yahoo.com,Karamara Ras Hotel
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Around Tilfe Hotel,,+251-25-1114929,Icap International
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Around Gend Qore Mesjid,,+251-25-1115361,Yetnayet Pharmacy
,Dire Dawa City,Dire Dawa,Gend Qore Kebele: -,Around Samrat Hotel,,+251-25-1110464,Berhan Freight Transport Association
,Dire Dawa City,Dire Dawa,Legehare Kebele: 08,Around Cirestos School,,251-25-1112285 Fax: 251-25-1112880,Sai Hotel and Travel Agency
,Dire Dawa City,Dire Dawa,Legehare Kebele: 08,Near Sayat Hotel,,251-25-1112139,Abas Clinic
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,In front of Misrak Jegenoch School,,+251-25-1120220,Diredawa Dipartment of Justice
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,Near Mesgid,,+251-25-1113499,Juma Dental Clinic
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,Inside keftegne 4,,+251-91-5001949,Murewa Meredaja Association
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,Inside keftegne 4,,+251-91-5157580,Alaqalo Meredaja Association
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,Around 02 Kebele,,+251-91-5760710,Urji City Taxi Owners Association
,Dire Dawa City,Dire Dawa,Legehare Kebele: -,Behind Georgis Church,,+251-91-1752298,Abader Printing Press
,Dire Dawa City,Dire Dawa,Gengel Meznagan Kebele: 08,Near Gengel Mezenagan,,+251-25-1129777,Art General Hospital P/L/C
,Dire Dawa City,Dire Dawa,Yedro Post office Kebele: 06,In front of Dire printing Press,,251-25-1119317,Lusy College
,Dire Dawa City,Dire Dawa,Peacock Cafiteria Kebele: 04,Around Peacock Cafiteria,,251-25-1121816,Micro-link Information Technology College
,Dire Dawa City,Dire Dawa,Memiria Kebele: 03,Around Police Station,,+251-91-2964276,Mekonnen Legese General Contractor
,Dire Dawa City,Dire Dawa,Gebrele Church Kebele: 08,Around College Cafe,,251-33-1125104,EAM Constraction and Town Plan College
,Dire Dawa City,Dire Dawa,Greec Camp Kebele: -,In Front of Stadium,,+251-91-1632529,Peacok Hotel
,Kombolcha City,Kombolecha,Yedro Piassa Kebele: 02,Near Hikma Cafe,,+251-33-5510611,Oilbiya Gas Station
,Dire Dawa City,Dire Dawa,Greec Camp Kebele: -,Behind Peacok Hotel,,+251-25-1112867,Harargie Level3 Public Transport Andnet Association
,Dessie City,Dessie,Dolifin Kebele: -,Inside Red Cross,,+251-33-1117119,Construction Design Share Company
,Dessie City,Dessie,Salayish Kebele: -,Near Nib Bank,,251-33-1111021,St.Gebriel Pharmacy
,Dire Dawa City,Dire Dawa,konel Kebele: 03,Around Awash Bank,,+251-25-1115584,Super Dandy
,Dire Dawa City,Dire Dawa,konel Kebele: 03,In front of Nigusse Pharmacy,,+251-25-1113509,Shemi Building Material Shop
,Dire Dawa City,Dire Dawa,konel Kebele: -,Near Rahma Restaurant,,+251-25-1117694,Selah Addis
,Dire Dawa City,Dire Dawa,konel Kebele: -,Around Peteram,,+251-25-1115342,Alpha Building Material
,Dire Dawa City,Dire Dawa,konel Kebele: -,In Front of Awash International Bank Dire Dawa Branch,,+251-25-1113443,Bashanfer Trading P.l.c
,Dire Dawa City,Dire Dawa,konel Kebele: -,Infront of Addis Ababa Hotel,,+251-25-1114994,Kidane Tessema Book Shop
,Dire Dawa City,Dire Dawa,konel Kebele: -,Infront of Ethiopian Electric Power Cooperation,,+251-91-5731996,Shumbro Building Material Shop
,Dire Dawa City,Dire Dawa,konel Kebele: -,Around Ethiopian Electric Power Cooperation,,+251-25-1113908,General Electric Trading Enterprise
,Dire Dawa City,Dire Dawa,Qefira Kebele: 03,In front of Hrison Ford Building,,+251-25-1114761,Ginfile Constraction
,Dire Dawa City,Dire Dawa,Qefira Kebele: -,Around Kefira Cafe,,+251-25-1117175,Photo Right
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,In front of Gumeruk,,+251-25-1110241,Mayor Investment Office
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,Around Dere Dewa Finance Office,,+251-25-1130218/19,Blue Bird Hotel
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,Around Airport,,+251-25-1115402 Fax: +251-25-1117729,Public Procurement and property Disposal Service
,Dire Dawa City,Dire Dawa,Mariam Kebele: -,Inside Finance Building,,+251-25-1114137,Land Development and Management Office
,Dire Dawa City,Dire Dawa,Bile Kebele: -,Around Bile,,+251-25-6620135,Aweday City Adminstration
,Dire Dawa City,Dire Dawa,Hindoch Sefer Kebele: 03,Near Tamrat Spare Part Shop,,+251-25-1113464,Selam Spare Part
,Dire Dawa City,Dire Dawa,Hindoch Sefer Kebele: 03,Around Tele,,+251-25-1111057   +251-92-0908854,Tesfa Bsrat Blind and Disables Charitable Association
,Dire Dawa City,Dire Dawa,Hindoch Sefer Kebele: 08,Around Baburam Mosque,,+251-91-5321976,Haji Musa & Seada Yusuf Work
,Dire Dawa City,Dire Dawa,Hindoch Sefer Kebele: -,Around Beftu Building,,+251-25-1113927,Galaxy Jewellery
,Jimma City,Jimma,Gunja guduru Kebele: -,Around Hani land Hotel,,+251-47-1114115,Ethiopian Road Authority
,Dire Dawa City,Dire Dawa,Chat tera Kebele: -,Around kristos school,,+251-91-1739485   +251-91-5008581,Amume Weleteha Development Association
,Dire Dawa City,Dire Dawa,Shell Kebele: -,In Front of Segenete Hotel,,+251-25-1112810,Assefa Melaku General Technical Work Shop
,Dire Dawa City,Dire Dawa,Shell Kebele: -,Near Tesfa hotel,,+251-25-1120668,Cyberlink Computer System
,Dire Dawa City,Dire Dawa,Kebele 07 Kebele: -,Near Dashen Bank Conel Branch,,+251-25-1113636,Bilale Hospital
,Dire Dawa City,Dire Dawa,Del Chora Kebele: -,Around Ras Hotel,,+251-25-2110041,Ugaz Pharmacy
,Dire Dawa City,Dire Dawa,Rasha Kebele: -,Around Police Commution,,+251-25-1122122,The Federal Ethics and Anti Corruption Commission
,Dire Dawa City,Dire Dawa,Addisu Tele Kebele: -,Around Addisu Tele,,+251-25-2110326,Sabriya Hotel and Resort
,Dire Dawa City,Dire Dawa,Kebele 03 Kebele: -,Inside Kentiba Building,,+251-25-1118726   +251-25-1112820,Document Authentication and Registration office
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,4th Floor,+251-11-4670684   +251-91-1205794,Ceman Business P.L.C
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,5th floor 303,251-11-4673723   251-11-4673733/35 P.O.Box 17856 Website/Email: classplus@ymail.com,Class Plus Event Organizer
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,6th floor no 401,+251-11-8951096,Al-Mosafeer Agency
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,1st Floor,+251-11-4665401,Nib Constraction
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,5th Floor,+251-11-4674172/73   +251-91-1900108,Task Force for Global Health Incorporation
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,1st Floor,+251-91-1483367,Bamake Trading
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,,+251-91-1226000,Saabshaday Trading plc
,Addis Ababa City,Kirkos,Ibex Hotel Kebele: 02/03,Near Telcomunication College,4th Floor,+251-91-3599504,Sae Stationary Cleaning Equipment and Clothing Retail Trade
,Addis Ababa City,Nefassilk Lafto,Saris Kebele: 01,Around of Abo Church Inside Meki Building,,+251-91-1217763   +251-91-1201241,Dire Dawa Food Complex
,Addis Ababa City,Kirkos,Wolo Sefer Kebele: 02/03,"Ethiopia China Road, From Ibex Hotel 100m , In front of Eden Genet Garden",,251-11-4674497/98 P.O.Box 21287/1000,Dire Dawa Building
,Dire Dawa City,Dechatu,Dechatu Kebele: -,Near Baher Negash Hotel,,+251-25-1120309,Dire Micro Finance
,Addis Ababa City,Addis Ketema,Sebategna Kebele: 16/17,Around sebategna,,+251-11-2754236   +251-11-2756443 Fax: 251-11-2752455 P.O.Box 2492,Dire Industry
,Dire Dawa City,Kezira,Kezira Kebele: 03,Near Omedla Hotel,,+251-91-1207663,Musliya Trading
,Dire Dawa City,Kezira,Kezira Kebele: 03,behind Police Station,,+251-25-1124076,Ade Advertising and Secritarial Service
,Dire Dawa City,Kezira,Kezira Kebele: 03,In front of Dashen bank Around Old Eatfruit   House No.: 999999,,+251-25-1111546,Continental Hotel
,Dire Dawa City,Kezira,Kezira Kebele: 03,Around Catholic Church,,+251-25-1113383,Abune Endreas School
,Dire Dawa City,Kezira,Kezira Kebele: 03,Near Ethiopia Pharmacy,,+251-25-1119247,Diredawa Microfinance S.C
,Dire Dawa City,Kezira,Kezira Kebele: 03,Around Shell,,+251-25-1113255,Ras Hotel
,Dire Dawa City,Kezira,Kezira Kebele: 03,Behind Kezira Police Station,,+251-91-5731182,Tilahun Desse Garage
,Dire Dawa City,Kezira,Kezira Kebele: 03,Around Michael Church,,+251-25-1125078,oubera Pharmacy
,Dire Dawa City,Kezira,Kezira Kebele: 03,Around Kezira Police Station,,+251-25-1124076,Abe Advertising & Secretarial Service
,Dire Dawa City,Kezira,Kezira Kebele: 03,Around Millennium Menafesha,,+251-25-1114853,Good Morning East Africa PLC
,Dire Dawa City,Kezira,Kezira Kebele: 03,In Front of Michael Church,,+251-25-1121194,Yemariam Werk Higher Clinic
,Dire Dawa City,Kezira,Kezira Kebele: 03,In Front of Dashen Bank Dire Dawa Branch,,+251-25-1113143,Ministry of Trade and Industry D/D Foreign Trade Office
,Dire Dawa City,Kezira,Bete Mengist Kebele: 03,Around Michael Church,,+251-25-1113306,Notredame School
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,Around Oromia International Bank S.C.   House No.: 999999,,+251-91-5321348,Abdisa Ashebir General Contractor
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,,251-25-1114581,Top College
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,,251-25-1120041,Admas Dental Clinic
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,3th Floor,+251-25-1115370,Hareri Mahberatna Tequamat Yegara Gudayoch Forum
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,2nd Floor,+251-91-1425116,Eastern Development Initiative
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,1st Floor,+251-93-0097708,Fenaole Coffee Trading P.L.C
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,8th Floor,+251-25-1114059,Sun Transit P.L.C
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,4th Floor,+251-25-1114059,Sun Travel Agency and General PLC
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,1st Floor,+251-25-1121030,Jupiter Trading
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,Ground Floor,+251-25-1122918,Mass Computer Center
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,Ground Floor,+251-25-1120447,Techno Style
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,Ground Floor,251-91-5754066,Abenezer Moderne Tailor
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,1st Floor,+251-25-1113039,Commercial Nominess P.l.c
,Dire Dawa City,Megala,Amare Hotel Kebele: 06,In front of Amare Hotel,1st Floor,+251-91-1951735,Micro Soft It Solution
,Bati City,Bati,Kebele: 04,Near Tena tabiya   House No.: 9999,,+251-33-1190239,Dodo School
,Bati City,Bati,Kebele: 04,Around Kebele   House No.: 999999,,+251-33-1190227,Sertie School
,Addis Ababa City,Arada,Piassa Kebele: 10,Piassa in front of Greek Church,,+251-11-1565915   +251-11-2773685 Fax: 251-11-2752455,Dire Electronics
,Addis Ababa City,Bole,Atlas Kebele: 01,Around 2000 Habesha Cultural Restaurant,,+251-11-6630100,Dire Tube
,Addis Ababa City,Nefassilk Lafto,Besrate Gebriel Kebele: 01,In front of Home Dipo,,+251-11-3734267/68,Dire Pharmacy
,Addis Ababa City,Addis Ketema,Sebategna Kebele: 16/17,Around sebategna,,251-11-2772894/95   251-11-2772911 Fax: 251-11-2772897 P.O.Box 03 Website/Email: modjan@ethionet.et,Mojo Tannery S.C
,Addis Ababa City,Addis Ketema,Sebategna Kebele: 16/17,Around sebategna,,251-11-2774083,Hebron P.L.C
,Addis Ababa City,Kirkos,Olympia Kebele: 02/03,In front of Bras Hospital,,+251-11-5513525   +251-11-5526310 Fax: +251-11-5156888,Dire highlight Flower P.l.c
,Addis Ababa City,Arada,Piassa Kebele: 01/02,Inside Country Trading,,+251-91-5321037,Maha Dire Light Trading
,Wolayta Sodo City,Wolayta Sodo,Balto Hotel Kebele: 01,Around Atote Cafe and Restaurant,,+251-46-2210380,Community Initiative Support Organazation
,Wolayta Sodo City,Wolayta Sodo,Noc gas station Kebele: -,n front of NOC Gas Station,,251-46-5515216/17   251-46-5514417   251-46-5515216 Fax: 251-46-5515113,Wolaita Soddo University
,Wolayta Sodo City,Wolayta Sodo,Ligaba Kebele: -,Behind Finance zone,,+251-46-5514588   +251-91-1740492,Yewlayta Bher Bahl Kires Tekebakabi Mahber
,Wolayta Sodo City,Wolayta Sodo,Chat tera Kebele: -,In front of Damo terara,,+251-46-5512922,Jerusalem Pension
,Wolayta Sodo City,Wolayta Sodo,Tona Sefer Kebele: -,Behind Tona Gebeya,,+251-46-5512833,Comfort Hotel
,Wolayta Sodo City,Wolayta Sodo,Menaheria Kebele: -,Around Seleme Cafe,,+251-46-8550210   +251-91-1076080,Shillon Ham Association
,Wolayta Sodo City,Wolayta Sodo,Menaheria Kebele: 01,In front of Bus Station,,+251-46-5511163   +251-91-1744461,Soddo Christian Hospital
,Wolayta Sodo City,Wolayta Sodo,Menaheria Kebele: -,Around Chiban Hotel,,+251-46-8830266   +251-46-8830350,SodoBuee Child and Family Development Charitable Organization
,Wolayta Sodo City,Wolayta Sodo,Menaheria Kebele: -,Near Tona Building,,+251-46-1801127,Abebe Zeleke Hotel
,Wolayta Sodo City,Wolayta Sodo,Maremiyabet Kebele: 01,Near Maremiya Bet,,+251-91-1737038,Action on Pondoconiosis Association
,Wolayta Sodo City,Wolayta Sodo,Otena Kebele: -,Around Meberat Hail Kal Hiwot Church,,+251-46-5514980   +251-46-5510362,Mossy Foot International
